Age,Gender,Height_cm,Weight_kg,Fitness_Goal,Diet_Preference,Diet_Plan,Breakfast,Lunch,Dinner,Snacks,Calories,Protein_g,Carbs_g,Fats_g
46,Female,177,74,Maintenance,Non-Vegetarian,Balanced Plan,Protein shake,Rajma with roti,Grilled fish with veggies,Fruit salad,1566,108,217,36
48,Male,150,94,Weight Loss,Vegan,High Protein Plan,Protein shake,Grilled chicken with salad,Vegetable soup with bread,Boiled corn,2419,85,196,100
42,Female,169,51,Weight Loss,Vegan,Keto Plan,Upma with coconut chutney,Paneer rice bowl,Chicken stir fry,Fruit salad,2232,99,198,68
54,Male,167,66,Weight Loss,Non-Vegetarian,Low Carb Plan,Smoothie bowl,Tofu stir fry,Tofu curry,Green smoothie,1561,162,230,56
30,Male,173,81,Weight Loss,Vegan,Low Carb Plan,Protein shake,Tofu stir fry,Veg pasta,Boiled corn,2943,107,300,57
20,Male,165,96,Maintenance,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Quinoa with veggies,Tofu curry,Popcorn,1663,59,279,98
31,Male,175,57,Muscle Gain,Vegetarian,Balanced Plan,Greek yogurt with nuts,Fish curry with rice,Veg pasta,Fruit salad,1838,125,256,56
56,Male,167,77,Weight Loss,Vegetarian,Keto Plan,Greek yogurt with nuts,Rajma with roti,Chicken stir fry,Fruit salad,1996,121,165,50
43,Male,186,86,Muscle Gain,Non-Vegetarian,Low Carb Plan,Protein shake,Rajma with roti,Lentil curry with rice,Protein bar,1939,111,140,71
51,Female,181,86,Maintenance,Non-Vegetarian,Keto Plan,Smoothie bowl,Rajma with roti,Tofu curry,Fruit salad,1836,171,207,86
55,Male,150,70,Weight Loss,Vegan,Balanced Plan,Smoothie bowl,Vegetable biryani,Lentil curry with rice,Nuts mix,2767,156,228,39
24,Female,185,52,Maintenance,Vegan,High Protein Plan,Avocado toast,Paneer rice bowl,Lentil curry with rice,Fruit salad,2618,164,155,71
32,Male,170,50,Maintenance,Non-Vegetarian,Balanced Plan,Upma with coconut chutney,Tofu stir fry,Paneer curry with rice,Green smoothie,2444,63,138,76
37,Female,184,51,Muscle Gain,Non-Vegetarian,Keto Plan,Upma with coconut chutney,Dal and brown rice,Lentil curry with rice,Fruit salad,2965,65,132,62
34,Female,167,57,Weight Loss,Vegetarian,Low Carb Plan,Upma with coconut chutney,Vegetable biryani,Lentil curry with rice,Chia pudding,2582,169,240,70
22,Female,161,79,Maintenance,Vegan,Keto Plan,Oatmeal with fruits,Grilled chicken with salad,Tofu curry,Sprouts,2753,78,101,69
28,Female,160,73,Maintenance,Vegan,Keto Plan,Upma with coconut chutney,Dal and brown rice,Salad and quinoa,Green smoothie,2847,60,264,41
18,Male,177,61,Maintenance,Vegan,High Protein Plan,Smoothie bowl,Fish curry with rice,Grilled fish with veggies,Boiled corn,2685,114,179,47
45,Male,164,58,Maintenance,Non-Vegetarian,Balanced Plan,Smoothie bowl,Dal and brown rice,Lentil curry with rice,Boiled corn,2878,151,132,77
51,Female,155,78,Weight Loss,Non-Vegetarian,Low Carb Plan,Boiled eggs and toast,Dal and brown rice,Tofu curry,Fruit salad,2311,53,108,60
53,Female,154,53,Muscle Gain,Vegetarian,High Protein Plan,Smoothie bowl,Fish curry with rice,Grilled fish with veggies,Sprouts,1696,179,124,41
22,Male,157,70,Muscle Gain,Vegan,Balanced Plan,Oatmeal with fruits,Fish curry with rice,Tofu curry,Protein bar,2666,171,155,81
22,Male,186,54,Muscle Gain,Vegetarian,Keto Plan,Protein shake,Vegetable biryani,Vegetable soup with bread,Green smoothie,1684,170,178,32
59,Male,154,61,Maintenance,Vegan,High Protein Plan,Oatmeal with fruits,Tofu stir fry,Tofu curry,Sprouts,2862,180,144,37
59,Female,184,51,Muscle Gain,Non-Vegetarian,Low Carb Plan,Avocado toast,Paneer rice bowl,Salad and quinoa,Sprouts,1794,153,134,54
23,Female,154,98,Weight Loss,Non-Vegetarian,Low Carb Plan,Avocado toast,Fish curry with rice,Lentil curry with rice,Sprouts,2434,128,108,41
